survived,sex,age,age2,class,sex_class,crew
0,1,19.0,361.0,3,3,0
1,0,17.0,289.0,3,0,0
0,1,26.0,676.0,3,3,0
0,1,32.0,1024.0,2,2,0
0,0,16.0,256.0,3,0,0
0,1,21.0,441.0,2,2,0
0,1,26.0,676.0,3,3,0
1,1,32.0,1024.0,3,3,0
0,1,25.0,625.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,28.0,784.0,3,3,0
1,1,0.83,0.6889,2,2,0
1,0,30.0,900.0,3,0,0
0,1,22.0,484.0,3,3,0
1,1,29.0,841.0,3,3,0
1,0,28.0,784.0,3,0,0
0,1,28.0,784.0,1,1,0
1,0,17.0,289.0,2,0,0
1,0,33.0,1089.0,3,0,0
0,1,16.0,256.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,23.0,529.0,1,0,0
0,1,24.0,576.0,3,3,0
0,1,29.0,841.0,3,3,0
0,1,20.0,400.0,3,3,0
0,1,46.0,2116.0,1,1,0
0,1,26.0,676.0,3,3,0
0,1,59.0,3481.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,71.0,5041.0,1,1,0
1,1,23.0,529.0,1,1,0
1,0,34.0,1156.0,2,0,0
0,1,34.0,1156.0,2,2,0
0,0,28.0,784.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,21.0,441.0,1,1,0
0,1,33.0,1089.0,3,3,0
0,1,37.0,1369.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,21.0,441.0,3,0,0
1,1,28.0,784.0,3,3,0
0,1,38.0,1444.0,3,3,0
1,0,28.0,784.0,3,0,0
0,1,47.0,2209.0,1,1,0
0,0,14.5,210.25,3,0,0
0,1,22.0,484.0,3,3,0
0,0,20.0,400.0,3,0,0
0,0,17.0,289.0,3,0,0
0,1,21.0,441.0,3,3,0
0,1,70.5,4970.25,3,3,0
0,1,29.0,841.0,2,2,0
0,1,24.0,576.0,1,1,0
0,0,2.0,4.0,3,0,0
0,1,21.0,441.0,2,2,0
0,1,28.0,784.0,3,3,0
0,1,32.5,1056.25,2,2,0
1,0,32.5,1056.25,2,0,0
0,1,54.0,2916.0,1,1,0
1,1,12.0,144.0,3,3,0
0,1,28.0,784.0,3,3,0
1,1,24.0,576.0,3,3,0
1,0,28.0,784.0,3,0,0
0,1,45.0,2025.0,3,3,0
0,1,33.0,1089.0,3,3,0
0,1,20.0,400.0,3,3,0
0,0,47.0,2209.0,3,0,0
1,0,29.0,841.0,2,0,0
0,1,25.0,625.0,2,2,0
0,1,23.0,529.0,2,2,0
1,0,19.0,361.0,1,0,0
0,1,37.0,1369.0,1,1,0
0,1,16.0,256.0,3,3,0
0,1,24.0,576.0,1,1,0
0,0,28.0,784.0,3,0,0
1,0,22.0,484.0,3,0,0
1,0,24.0,576.0,3,0,0
0,1,19.0,361.0,3,3,0
0,1,18.0,324.0,2,2,0
0,1,19.0,361.0,2,2,0
1,1,27.0,729.0,3,3,0
0,0,9.0,81.0,3,0,0
0,1,36.5,1332.25,2,2,0
0,1,42.0,1764.0,2,2,0
0,1,51.0,2601.0,2,2,0
1,0,22.0,484.0,1,0,0
0,1,55.5,3080.25,3,3,0
0,1,40.5,1640.25,3,3,0
0,1,28.0,784.0,3,3,0
0,1,51.0,2601.0,1,1,0
1,0,16.0,256.0,3,0,0
0,1,30.0,900.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,44.0,1936.0,3,3,0
1,0,40.0,1600.0,2,0,0
0,1,26.0,676.0,3,3,0
0,1,17.0,289.0,3,3,0
0,1,1.0,1.0,3,3,0
1,1,9.0,81.0,3,3,0
1,0,28.0,784.0,1,0,0
0,0,45.0,2025.0,3,0,0
0,1,28.0,784.0,1,1,0
0,1,28.0,784.0,3,3,0
0,1,61.0,3721.0,1,1,0
0,1,4.0,16.0,3,3,0
1,0,1.0,1.0,3,0,0
0,1,21.0,441.0,3,3,0
0,1,56.0,3136.0,1,1,0
0,1,18.0,324.0,3,3,0
0,1,28.0,784.0,3,3,0
0,0,50.0,2500.0,1,0,0
0,1,30.0,900.0,2,2,0
0,1,36.0,1296.0,3,3,0
0,0,28.0,784.0,3,0,0
0,1,28.0,784.0,2,2,0
0,1,9.0,81.0,3,3,0
1,1,1.0,1.0,2,2,0
1,0,4.0,16.0,3,0,0
0,1,28.0,784.0,1,1,0
1,0,28.0,784.0,3,0,0
1,1,45.0,2025.0,1,1,0
0,1,40.0,1600.0,3,3,0
0,1,36.0,1296.0,3,3,0
1,0,32.0,1024.0,2,0,0
0,1,19.0,361.0,2,2,0
1,0,19.0,361.0,3,0,0
1,1,3.0,9.0,2,2,0
1,0,44.0,1936.0,1,0,0
1,0,58.0,3364.0,1,0,0
0,1,28.0,784.0,3,3,0
0,1,42.0,1764.0,3,3,0
1,0,28.0,784.0,3,0,0
0,0,24.0,576.0,2,0,0
0,1,28.0,784.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,34.0,1156.0,3,3,0
0,1,45.5,2070.25,3,3,0
1,1,18.0,324.0,3,3,0
0,0,2.0,4.0,3,0,0
0,1,32.0,1024.0,3,3,0
1,1,26.0,676.0,3,3,0
1,0,16.0,256.0,3,0,0
1,1,40.0,1600.0,1,1,0
0,1,24.0,576.0,3,3,0
1,0,35.0,1225.0,2,0,0
0,1,22.0,484.0,3,3,0
0,1,30.0,900.0,2,2,0
0,1,28.0,784.0,3,3,0
1,0,31.0,961.0,1,0,0
1,0,27.0,729.0,3,0,0
0,1,42.0,1764.0,2,2,0
1,0,32.0,1024.0,1,0,0
0,1,30.0,900.0,2,2,0
1,1,16.0,256.0,3,3,0
0,1,27.0,729.0,2,2,0
0,1,51.0,2601.0,3,3,0
0,1,28.0,784.0,3,3,0
1,1,38.0,1444.0,1,1,0
0,1,22.0,484.0,3,3,0
1,1,19.0,361.0,2,2,0
0,1,20.5,420.25,3,3,0
0,1,18.0,324.0,2,2,0
0,0,28.0,784.0,3,0,0
1,0,35.0,1225.0,1,0,0
0,1,29.0,841.0,3,3,0
0,1,59.0,3481.0,2,2,0
1,0,5.0,25.0,3,0,0
0,1,24.0,576.0,2,2,0
0,0,28.0,784.0,3,0,0
0,1,44.0,1936.0,2,2,0
1,0,8.0,64.0,2,0,0
0,1,19.0,361.0,2,2,0
0,1,33.0,1089.0,2,2,0
0,0,28.0,784.0,3,0,0
1,0,28.0,784.0,3,0,0
0,1,29.0,841.0,2,2,0
0,1,22.0,484.0,3,3,0
0,1,30.0,900.0,3,3,0
0,1,44.0,1936.0,1,1,0
0,0,25.0,625.0,3,0,0
1,0,24.0,576.0,2,0,0
1,1,37.0,1369.0,1,1,0
0,1,54.0,2916.0,2,2,0
0,1,28.0,784.0,3,3,0
0,0,29.0,841.0,3,0,0
0,1,62.0,3844.0,1,1,0
0,1,30.0,900.0,3,3,0
0,0,41.0,1681.0,3,0,0
1,0,29.0,841.0,3,0,0
1,0,28.0,784.0,1,0,0
1,0,30.0,900.0,1,0,0
1,0,35.0,1225.0,1,0,0
1,0,50.0,2500.0,2,0,0
0,1,28.0,784.0,3,3,0
1,1,3.0,9.0,3,3,0
0,1,52.0,2704.0,1,1,0
0,1,40.0,1600.0,1,1,0
0,0,28.0,784.0,3,0,0
0,1,36.0,1296.0,2,2,0
0,1,16.0,256.0,3,3,0
1,1,25.0,625.0,3,3,0
1,0,58.0,3364.0,1,0,0
1,0,35.0,1225.0,1,0,0
0,1,28.0,784.0,1,1,0
1,1,25.0,625.0,3,3,0
1,0,41.0,1681.0,2,0,0
0,1,37.0,1369.0,1,1,0
1,0,28.0,784.0,3,0,0
1,0,63.0,3969.0,1,0,0
0,0,45.0,2025.0,3,0,0
0,1,28.0,784.0,2,2,0
0,1,7.0,49.0,3,3,0
1,0,35.0,1225.0,3,0,0
0,1,65.0,4225.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,16.0,256.0,3,3,0
1,1,19.0,361.0,3,3,0
0,1,28.0,784.0,1,1,0
0,1,33.0,1089.0,3,3,0
1,1,30.0,900.0,3,3,0
0,1,22.0,484.0,3,3,0
1,1,42.0,1764.0,2,2,0
1,0,22.0,484.0,3,0,0
1,0,26.0,676.0,1,0,0
1,0,19.0,361.0,1,0,0
0,1,36.0,1296.0,2,2,0
0,0,24.0,576.0,3,0,0
0,1,24.0,576.0,3,3,0
0,1,28.0,784.0,1,1,0
0,1,23.5,552.25,3,3,0
0,0,2.0,4.0,1,0,0
1,1,28.0,784.0,1,1,0
1,0,50.0,2500.0,1,0,0
1,0,28.0,784.0,3,0,0
1,1,28.0,784.0,3,3,0
0,1,19.0,361.0,3,3,0
1,0,28.0,784.0,2,0,0
0,1,28.0,784.0,3,3,0
1,1,0.92,0.8464,1,1,0
1,0,28.0,784.0,1,0,0
1,0,17.0,289.0,1,0,0
0,1,30.0,900.0,2,2,0
1,0,30.0,900.0,1,0,0
1,0,24.0,576.0,1,0,0
1,0,18.0,324.0,1,0,0
0,0,26.0,676.0,2,0,0
0,1,28.0,784.0,3,3,0
0,1,43.0,1849.0,2,2,0
1,0,26.0,676.0,3,0,0
1,0,24.0,576.0,2,0,0
0,1,54.0,2916.0,2,2,0
1,0,31.0,961.0,1,0,0
1,0,40.0,1600.0,1,0,0
0,1,22.0,484.0,3,3,0
0,1,27.0,729.0,3,3,0
1,0,30.0,900.0,2,0,0
1,0,22.0,484.0,2,0,0
0,1,28.0,784.0,3,3,0
1,0,36.0,1296.0,1,0,0
0,1,61.0,3721.0,3,3,0
1,0,36.0,1296.0,2,0,0
1,0,31.0,961.0,3,0,0
1,0,16.0,256.0,1,0,0
1,0,28.0,784.0,3,0,0
0,1,45.5,2070.25,1,1,0
0,1,38.0,1444.0,1,1,0
0,1,16.0,256.0,3,3,0
1,0,28.0,784.0,1,0,0
0,1,28.0,784.0,3,3,0
0,1,29.0,841.0,1,1,0
1,0,41.0,1681.0,1,0,0
1,1,45.0,2025.0,3,3,0
0,1,45.0,2025.0,1,1,0
1,1,2.0,4.0,2,2,0
1,0,24.0,576.0,1,0,0
0,1,28.0,784.0,2,2,0
0,1,25.0,625.0,2,2,0
0,1,36.0,1296.0,2,2,0
1,0,24.0,576.0,2,0,0
1,0,40.0,1600.0,2,0,0
1,0,28.0,784.0,3,0,0
1,1,3.0,9.0,3,3,0
0,1,42.0,1764.0,3,3,0
0,1,23.0,529.0,3,3,0
0,1,28.0,784.0,1,1,0
0,1,15.0,225.0,3,3,0
0,1,25.0,625.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,22.0,484.0,1,0,0
0,0,38.0,1444.0,2,0,0
1,0,28.0,784.0,3,0,0
1,0,28.0,784.0,3,0,0
0,1,40.0,1600.0,3,3,0
0,1,29.0,841.0,2,2,0
0,0,45.0,2025.0,3,0,0
0,1,35.0,1225.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,30.0,900.0,3,3,0
1,0,60.0,3600.0,1,0,0
1,0,28.0,784.0,3,0,0
1,0,28.0,784.0,3,0,0
1,0,24.0,576.0,1,0,0
1,1,25.0,625.0,1,1,0
0,1,18.0,324.0,3,3,0
0,1,19.0,361.0,3,3,0
0,1,22.0,484.0,1,1,0
0,0,3.0,9.0,3,0,0
1,0,28.0,784.0,1,0,0
1,0,22.0,484.0,3,0,0
0,1,27.0,729.0,1,1,0
0,1,20.0,400.0,3,3,0
0,1,19.0,361.0,3,3,0
1,0,42.0,1764.0,1,0,0
1,0,1.0,1.0,3,0,0
0,1,32.0,1024.0,3,3,0
1,0,35.0,1225.0,1,0,0
0,1,28.0,784.0,3,3,0
0,1,18.0,324.0,2,2,0
0,1,1.0,1.0,3,3,0
1,0,36.0,1296.0,2,0,0
0,1,28.0,784.0,3,3,0
1,0,17.0,289.0,2,0,0
1,1,36.0,1296.0,1,1,0
1,1,21.0,441.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,23.0,529.0,1,0,0
1,0,24.0,576.0,3,0,0
0,1,22.0,484.0,3,3,0
0,0,31.0,961.0,3,0,0
0,1,46.0,2116.0,2,2,0
0,1,23.0,529.0,2,2,0
1,0,28.0,784.0,2,0,0
1,1,39.0,1521.0,3,3,0
0,1,26.0,676.0,3,3,0
0,0,21.0,441.0,3,0,0
0,1,28.0,784.0,3,3,0
0,0,20.0,400.0,3,0,0
0,1,34.0,1156.0,2,2,0
0,1,51.0,2601.0,3,3,0
1,1,3.0,9.0,2,2,0
0,1,21.0,441.0,3,3,0
0,0,28.0,784.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,33.0,1089.0,1,0,0
0,1,28.0,784.0,2,2,0
1,1,44.0,1936.0,3,3,0
0,0,28.0,784.0,3,0,0
1,0,34.0,1156.0,2,0,0
1,0,18.0,324.0,2,0,0
0,1,30.0,900.0,2,2,0
0,0,10.0,100.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,21.0,441.0,3,3,0
0,1,29.0,841.0,3,3,0
0,0,28.0,784.0,3,0,0
0,1,18.0,324.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,28.0,784.0,2,0,0
1,0,19.0,361.0,2,0,0
0,1,28.0,784.0,3,3,0
1,1,32.0,1024.0,3,3,0
1,1,28.0,784.0,1,1,0
1,0,28.0,784.0,3,0,0
1,0,42.0,1764.0,2,0,0
0,1,17.0,289.0,3,3,0
0,1,50.0,2500.0,1,1,0
1,0,14.0,196.0,1,0,0
0,0,21.0,441.0,3,0,0
1,0,24.0,576.0,2,0,0
0,1,64.0,4096.0,1,1,0
0,1,31.0,961.0,2,2,0
1,0,45.0,2025.0,2,0,0
0,1,20.0,400.0,3,3,0
0,1,25.0,625.0,3,3,0
1,0,28.0,784.0,2,0,0
1,1,28.0,784.0,3,3,0
1,1,4.0,16.0,1,1,0
1,0,13.0,169.0,2,0,0
1,1,34.0,1156.0,1,1,0
1,0,5.0,25.0,3,0,0
1,1,52.0,2704.0,1,1,0
0,1,36.0,1296.0,2,2,0
0,1,28.0,784.0,3,3,0
0,1,30.0,900.0,1,1,0
1,1,49.0,2401.0,1,1,0
0,1,28.0,784.0,3,3,0
1,1,29.0,841.0,3,3,0
0,1,65.0,4225.0,1,1,0
1,0,28.0,784.0,1,0,0
1,0,50.0,2500.0,2,0,0
0,1,28.0,784.0,3,3,0
1,1,48.0,2304.0,1,1,0
0,1,34.0,1156.0,3,3,0
0,1,47.0,2209.0,1,1,0
0,1,48.0,2304.0,2,2,0
0,1,28.0,784.0,3,3,0
0,1,38.0,1444.0,3,3,0
0,1,28.0,784.0,2,2,0
0,1,56.0,3136.0,1,1,0
0,1,28.0,784.0,3,3,0
1,0,0.75,0.5625,3,0,0
0,1,28.0,784.0,3,3,0
0,1,38.0,1444.0,3,3,0
1,0,33.0,1089.0,2,0,0
1,0,23.0,529.0,2,0,0
0,0,22.0,484.0,3,0,0
0,1,28.0,784.0,1,1,0
0,1,34.0,1156.0,2,2,0
0,1,29.0,841.0,3,3,0
0,1,22.0,484.0,3,3,0
1,0,2.0,4.0,3,0,0
0,1,9.0,81.0,3,3,0
0,1,28.0,784.0,2,2,0
0,1,50.0,2500.0,3,3,0
1,0,63.0,3969.0,3,0,0
1,1,25.0,625.0,1,1,0
0,0,28.0,784.0,3,0,0
1,0,35.0,1225.0,1,0,0
0,1,58.0,3364.0,1,1,0
0,1,30.0,900.0,3,3,0
1,1,9.0,81.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,21.0,441.0,3,3,0
0,1,55.0,3025.0,1,1,0
0,1,71.0,5041.0,1,1,0
0,1,21.0,441.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,54.0,2916.0,1,0,0
0,1,28.0,784.0,3,3,0
0,0,25.0,625.0,1,0,0
0,1,24.0,576.0,3,3,0
0,1,17.0,289.0,3,3,0
0,0,21.0,441.0,3,0,0
0,0,28.0,784.0,3,0,0
0,0,37.0,1369.0,3,0,0
1,0,16.0,256.0,1,0,0
0,1,18.0,324.0,1,1,0
1,0,33.0,1089.0,2,0,0
1,1,28.0,784.0,1,1,0
0,1,28.0,784.0,3,3,0
1,1,26.0,676.0,3,3,0
1,1,29.0,841.0,3,3,0
0,1,28.0,784.0,3,3,0
1,1,36.0,1296.0,1,1,0
1,0,54.0,2916.0,1,0,0
0,1,24.0,576.0,3,3,0
0,1,47.0,2209.0,1,1,0
1,0,34.0,1156.0,2,0,0
0,1,28.0,784.0,3,3,0
1,0,36.0,1296.0,2,0,0
0,1,32.0,1024.0,3,3,0
1,0,30.0,900.0,1,0,0
0,1,22.0,484.0,3,3,0
0,1,28.0,784.0,3,3,0
1,0,44.0,1936.0,1,0,0
0,1,28.0,784.0,3,3,0
0,1,40.5,1640.25,3,3,0
1,0,50.0,2500.0,2,0,0
0,1,28.0,784.0,1,1,0
0,1,39.0,1521.0,3,3,0
0,1,23.0,529.0,2,2,0
1,0,2.0,4.0,2,0,0
0,1,28.0,784.0,3,3,0
0,1,17.0,289.0,3,3,0
1,0,28.0,784.0,3,0,0
0,0,30.0,900.0,3,0,0
1,0,7.0,49.0,2,0,0
0,1,45.0,2025.0,1,1,0
1,0,30.0,900.0,1,0,0
0,1,28.0,784.0,3,3,0
1,0,22.0,484.0,1,0,0
1,0,36.0,1296.0,1,0,0
0,0,9.0,81.0,3,0,0
0,0,11.0,121.0,3,0,0
1,1,32.0,1024.0,2,2,0
0,1,50.0,2500.0,1,1,0
0,1,64.0,4096.0,1,1,0
1,0,19.0,361.0,2,0,0
1,1,28.0,784.0,2,2,0
0,1,33.0,1089.0,3,3,0
1,1,8.0,64.0,2,2,0
1,1,17.0,289.0,1,1,0
0,1,27.0,729.0,2,2,0
0,1,28.0,784.0,3,3,0
1,1,22.0,484.0,3,3,0
1,0,22.0,484.0,3,0,0
0,1,62.0,3844.0,1,1,0
1,0,48.0,2304.0,1,0,0
0,1,28.0,784.0,1,1,0
1,0,39.0,1521.0,1,0,0
1,0,36.0,1296.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,40.0,1600.0,3,3,0
0,1,28.0,784.0,2,2,0
0,1,28.0,784.0,3,3,0
0,0,28.0,784.0,3,0,0
0,1,24.0,576.0,3,3,0
0,1,19.0,361.0,3,3,0
0,0,29.0,841.0,3,0,0
0,1,28.0,784.0,3,3,0
1,1,32.0,1024.0,3,3,0
1,1,62.0,3844.0,2,2,0
1,0,53.0,2809.0,1,0,0
1,1,36.0,1296.0,1,1,0
1,0,28.0,784.0,3,0,0
0,1,16.0,256.0,3,3,0
0,1,19.0,361.0,3,3,0
1,0,34.0,1156.0,2,0,0
1,0,39.0,1521.0,1,0,0
0,0,28.0,784.0,3,0,0
1,1,32.0,1024.0,3,3,0
1,0,25.0,625.0,2,0,0
1,0,39.0,1521.0,1,0,0
0,1,54.0,2916.0,2,2,0
0,1,36.0,1296.0,1,1,0
0,1,28.0,784.0,3,3,0
1,0,18.0,324.0,1,0,0
0,1,47.0,2209.0,2,2,0
1,1,60.0,3600.0,1,1,0
0,1,22.0,484.0,3,3,0
0,1,28.0,784.0,3,3,0
0,1,35.0,1225.0,3,3,0
1,0,52.0,2704.0,1,0,0
0,1,47.0,2209.0,3,3,0
0,0,28.0,784.0,3,0,0
0,1,37.0,1369.0,2,2,0
0,1,36.0,1296.0,3,3,0
1,0,28.0,784.0,2,0,0
0,1,49.0,2401.0,3,3,0
0,1,28.0,784.0,3,3,0
1,1,49.0,2401.0,1,1,0
1,0,24.0,576.0,2,0,0
0,1,28.0,784.0,3,3,0
0,1,28.0,784.0,1,1,0
0,1,44.0,1936.0,3,3,0
1,1,35.0,1225.0,1,1,0
0,1,36.0,1296.0,3,3,0
0,1,30.0,900.0,3,3,0
1,1,27.0,729.0,1,1,0
1,0,22.0,484.0,2,0,0
1,0,40.0,1600.0,1,0,0
0,0,39.0,1521.0,3,0,0
0,1,28.0,784.0,3,3,0
1,0,28.0,784.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,35.0,1225.0,3,3,0
1,0,24.0,576.0,2,0,0
0,1,34.0,1156.0,3,3,0
0,0,26.0,676.0,3,0,0
1,0,4.0,16.0,2,0,0
0,1,26.0,676.0,2,2,0
0,1,27.0,729.0,3,3,0
1,1,42.0,1764.0,1,1,0
1,1,20.0,400.0,3,3,0
0,1,21.0,441.0,3,3,0
0,1,21.0,441.0,3,3,0
0,1,61.0,3721.0,1,1,0
0,1,57.0,3249.0,2,2,0
1,0,21.0,441.0,1,0,0
0,1,26.0,676.0,3,3,0
0,1,28.0,784.0,3,3,0
1,1,80.0,6400.0,1,1,0
0,1,51.0,2601.0,3,3,0
1,1,32.0,1024.0,1,1,0
0,1,28.0,784.0,1,1,0
0,0,9.0,81.0,3,0,0
1,0,28.0,784.0,2,0,0
0,1,32.0,1024.0,3,3,0
0,1,31.0,961.0,2,2,0
0,0,41.0,1681.0,3,0,0
0,1,28.0,784.0,3,3,0
0,1,20.0,400.0,3,3,0
1,0,24.0,576.0,1,0,0
0,0,2.0,4.0,3,0,0
1,1,28.0,784.0,3,3,0
1,0,0.75,0.5625,3,0,0
1,1,48.0,2304.0,1,1,0
0,1,19.0,361.0,3,3,0
1,1,56.0,3136.0,1,1,0
0,1,28.0,784.0,3,3,0
1,0,23.0,529.0,3,0,0
0,1,28.0,784.0,3,3,0
1,0,18.0,324.0,2,0,0
0,1,21.0,441.0,3,3,0
1,0,28.0,784.0,3,0,0
0,0,18.0,324.0,3,0,0
0,1,24.0,576.0,2,2,0
0,1,28.0,784.0,3,3,0
0,0,32.0,1024.0,3,0,0
0,1,23.0,529.0,2,2,0
0,1,58.0,3364.0,1,1,0
1,1,50.0,2500.0,1,1,0
0,1,40.0,1600.0,3,3,0
0,1,47.0,2209.0,1,1,0
0,1,36.0,1296.0,3,3,0
1,1,20.0,400.0,3,3,0
0,1,32.0,1024.0,2,2,0
0,1,25.0,625.0,2,2,0
0,1,28.0,784.0,3,3,0
0,1,43.0,1849.0,3,3,0
1,0,28.0,784.0,1,0,0
1,0,40.0,1600.0,2,0,0
0,1,31.0,961.0,1,1,0
0,1,70.0,4900.0,2,2,0
1,1,31.0,961.0,2,2,0
0,1,28.0,784.0,2,2,0
0,1,18.0,324.0,3,3,0
0,1,24.5,600.25,3,3,0
1,0,18.0,324.0,3,0,0
0,0,43.0,1849.0,3,0,0
1,1,36.0,1296.0,1,1,0
0,0,28.0,784.0,3,0,0
1,1,27.0,729.0,1,1,0
0,1,20.0,400.0,3,3,0
0,1,14.0,196.0,3,3,0
0,1,60.0,3600.0,2,2,0
0,1,25.0,625.0,2,2,0
0,1,14.0,196.0,3,3,0
0,1,19.0,361.0,3,3,0
0,1,18.0,324.0,3,3,0
1,0,15.0,225.0,1,0,0
1,1,31.0,961.0,1,1,0
1,0,4.0,16.0,3,0,0
1,1,28.0,784.0,3,3,0
0,1,25.0,625.0,3,3,0
0,1,60.0,3600.0,1,1,0
0,1,52.0,2704.0,2,2,0
0,1,44.0,1936.0,3,3,0
1,0,28.0,784.0,3,0,0
0,1,49.0,2401.0,1,1,0
0,1,42.0,1764.0,3,3,0
1,0,18.0,324.0,1,0,0
1,1,35.0,1225.0,1,1,0
0,0,18.0,324.0,3,0,0
0,1,25.0,625.0,3,3,0
0,1,26.0,676.0,3,3,0
0,1,39.0,1521.0,2,2,0
1,0,45.0,2025.0,2,0,0
1,1,42.0,1764.0,1,1,0
1,0,22.0,484.0,1,0,0
1,1,28.0,784.0,3,3,0
1,0,24.0,576.0,1,0,0
0,1,28.0,784.0,1,1,0
1,1,48.0,2304.0,1,1,0
0,1,29.0,841.0,3,3,0
0,1,52.0,2704.0,2,2,0
0,1,19.0,361.0,3,3,0
1,0,38.0,1444.0,1,0,0
1,0,27.0,729.0,2,0,0
0,1,28.0,784.0,3,3,0
0,1,33.0,1089.0,3,3,0
1,0,6.0,36.0,2,0,0
0,1,17.0,289.0,3,3,0
0,1,34.0,1156.0,2,2,0
0,1,50.0,2500.0,2,2,0
1,1,27.0,729.0,1,1,0
0,1,20.0,400.0,3,3,0
1,0,30.0,900.0,2,0,0
1,0,28.0,784.0,3,0,0
0,1,25.0,625.0,2,2,0
0,0,25.0,625.0,3,0,0
1,0,29.0,841.0,1,0,0
0,1,11.0,121.0,3,3,0
0,1,28.0,784.0,2,2,0
0,1,23.0,529.0,2,2,0
0,1,23.0,529.0,2,2,0
0,1,28.5,812.25,3,3,0
0,0,48.0,2304.0,3,0,0
1,1,35.0,1225.0,1,1,0
0,1,28.0,784.0,3,3,0
0,1,28.0,784.0,3,3,0
1,1,28.0,784.0,1,1,0
0,1,36.0,1296.0,1,1,0
1,0,21.0,441.0,1,0,0
0,1,24.0,576.0,3,3,0
1,1,31.0,961.0,3,3,0
0,1,70.0,4900.0,1,1,0
0,1,16.0,256.0,3,3,0
1,0,30.0,900.0,2,0,0
0,1,19.0,361.0,1,1,0
0,1,31.0,961.0,3,3,0
1,0,4.0,16.0,2,0,0
1,1,6.0,36.0,3,3,0
0,1,33.0,1089.0,3,3,0
0,1,23.0,529.0,3,3,0
1,0,48.0,2304.0,2,0,0
1,1,0.67,0.4489000000000001,2,2,0
0,1,28.0,784.0,3,3,0
0,1,18.0,324.0,2,2,0
0,1,34.0,1156.0,3,3,0
1,0,33.0,1089.0,1,0,0
0,1,28.0,784.0,3,3,0
